"Nr","Company","Location_HQ","Region","USState","Country","Continent","Laid_Off","layoff_date","Percentage","Company_Size_before_Layoffs","Company_Size_after_layoffs","industry_clean","Stage","Money_Raised_in__mil","Year","latitude","longitude","industry_grouped","layoff_severity_bucket","pct_laid_off_bucket","layoff_month","layoff_quarter","year_month","calculated_pct_laid_off","company_stage_simplified","funding_bucket","is_large_layoff"
206,"PayJoy","San Francisco","San Francisco Bay Area","California","USA","North America","27","2020-04-28","25","108","81","FINANCE","Series B","71",2020,"37.7792588","-122.4193286","Finance / Fintech","Small","Medium (11–25%)","2020-04","Q2","2020-04","25.0","Early Stage","Medium ($50–200M)",0
223,"Oriente","Hong Kong","other","non","Hong Kong","Asia","400","2020-05-04","20","2000","1600","FINANCE","Series B","175",2020,"22.2793278","114.1628131","Finance / Fintech","Large","Medium (11–25%)","2020-05","Q2","2020-05","20.0","Early Stage","Medium ($50–200M)",1
1875,"Intuit","Mountain View","San Francisco Bay Area","California","USA","North America","1800","2024-07-10","10","18000","16200","FINANCE","Post-IPO","18",2024,"37.3893889","-122.0832101","Finance / Fintech","Large","Low (≤10%)","2024-07","Q3","2024-07","10.0","Public","Low (<$50M)",1
233,"Flywire","Boston","other","Massachusetts","USA","North America","60","2020-05-07","12","500","440","FINANCE","Series E","263",2020,"42.3554334","-71.060511","Finance / Fintech","Medium","Medium (11–25%)","2020-05","Q2","2020-05","12.0","Late Stage","High (>$200M)",0
236,"Numbrs","Zurich","other","non","Switzerland","Europe","62","2020-05-07","50","124","62","FINANCE","Series B","78",2020,"47.3744489","8.5410422","Finance / Fintech","Medium","High (26–50%)","2020-05","Q2","2020-05","50.0","Early Stage","Medium ($50–200M)",0
237,"Tally","San Francisco","San Francisco Bay Area","California","USA","North America","28","2020-05-07","23","122","94","FINANCE","Series C","92",2020,"37.7792588","-122.4193286","Finance / Fintech","Small","Medium (11–25%)","2020-05","Q2","2020-05","23.0","Late Stage","Medium ($50–200M)",0
238,"N26","New York City","other","New York","USA","North America","9","2020-05-08","1","900","891","FINANCE","Series D","782",2020,"40.7127281","-74.0060152","Finance / Fintech","Small","Low (≤10%)","2020-05","Q2","2020-05","1.0","Late Stage","High (>$200M)",0
240,"Revolut","London","other","England","UK","Europe","60","2020-05-11","3","2000","1940","FINANCE","Series D","837",2020,"51.4893335","-0.144055085","Finance / Fintech","Medium","Low (≤10%)","2020-05","Q2","2020-05","3.0","Late Stage","High (>$200M)",0
246,"Kickstarter","New York City","other","New York","USA","North America","25","2020-05-13","18","139","114","FINANCE","Unknown","10",2020,"40.7127281","-74.0060152","Finance / Fintech","Small","Medium (11–25%)","2020-05","Q2","2020-05","18.0","Unknown / Other","Low (<$50M)",0
1847,"Flutterwave","San Francisco","San Francisco Bay Area","California","USA","North America","30","2024-06-24","3","1000","970","FINANCE","Unknown","509",2024,"37.7792588","-122.4193286","Finance / Fintech","Small","Low (≤10%)","2024-06","Q2","2024-06","3.0","Unknown / Other","High (>$200M)",0
1845,"Flutterwave","San Francisco","San Francisco Bay Area","California","USA","North America","30","2024-06-24","3","1000","970","FINANCE","Unknown","509",2024,"37.7792588","-122.4193286","Finance / Fintech","Small","Low (≤10%)","2024-06","Q2","2024-06","3.0","Unknown / Other","High (>$200M)",0
252,"Lendingkart","Ahmedabad","other","Gujarat","India","Asia","500","2020-05-15","50","1000","500","FINANCE","Unknown","200",2020,"23.0216238","72.5797068","Finance / Fintech","Large","High (26–50%)","2020-05","Q2","2020-05","50.0","Unknown / Other","Medium ($50–200M)",1
1829,"Wex","Portland","Cascadia","Oregon","USA","North America","375","2024-06-18","5","7500","7125","FINANCE","Post-IPO","400",2024,"45.5202471","-122.674194","Finance / Fintech","Large","Low (≤10%)","2024-06","Q2","2024-06","5.0","Public","High (>$200M)",1
1828,"Wex","Portland","Cascadia","Oregon","USA","North America","375","2024-06-18","5","7500","7125","FINANCE","Post-IPO","400",2024,"45.5202471","-122.674194","Finance / Fintech","Large","Low (≤10%)","2024-06","Q2","2024-06","5.0","Public","High (>$200M)",1
1826,"Rapyd","Tel Aviv","other","non","Israel","Asia","30","2024-06-18","4","750","720","FINANCE","Unknown","770",2024,"32.0852997","34.7818064","Finance / Fintech","Small","Low (≤10%)","2024-06","Q2","2024-06","4.0","Unknown / Other","High (>$200M)",0
263,"SoFi","San Francisco","San Francisco Bay Area","California","USA","North America","112","2020-05-20","7","1600","1488","FINANCE","Private Equity","2500",2020,"37.7792588","-122.4193286","Finance / Fintech","Medium","Low (≤10%)","2020-05","Q2","2020-05","7.0","Late Stage","High (>$200M)",0
270,"Ebanx","Curitiba","other","State of Paraná","Brazil","South America","62","2020-05-27","8","775","713","FINANCE","Unknown","30",2020,"-25.4295963","-49.2712724","Finance / Fintech","Medium","Low (≤10%)","2020-05","Q2","2020-05","8.0","Unknown / Other","Low (<$50M)",0
1806,"Paxos","New York City","other","New York","USA","North America","65","2024-06-12","20","325","260","FINANCE","Unknown","543",2024,"40.7127281","-74.0060152","Finance / Fintech","Medium","Medium (11–25%)","2024-06","Q2","2024-06","20.0","Unknown / Other","High (>$200M)",0
276,"Brex","San Francisco","San Francisco Bay Area","California","USA","North America","62","2020-05-29","15","413","351","FINANCE","Series C","732",2020,"37.7792588","-122.4193286","Finance / Fintech","Medium","Medium (11–25%)","2020-05","Q2","2020-05","15.0","Late Stage","High (>$200M)",0
1793,"Pagaya","Tel Aviv","other","non","Israel","Asia","100","2024-06-05","14","714","614","FINANCE","Post-IPO","571",2024,"32.0852997","34.7818064","Finance / Fintech","Medium","Medium (11–25%)","2024-06","Q2","2024-06","14.0","Public","High (>$200M)",0
281,"Fundbox","San Francisco","San Francisco Bay Area","California","USA","North America","14","2020-06-02","15","93","79","FINANCE","Series C","453",2020,"37.7792588","-122.4193286","Finance / Fintech","Small","Medium (11–25%)","2020-06","Q2","2020-06","15.1","Late Stage","High (>$200M)",0
283,"Credit Sesame","Mountain View","San Francisco Bay Area","California","USA","North America","22","2020-06-03","14","157","135","FINANCE","Series F","120",2020,"37.3893889","-122.0832101","Finance / Fintech","Small","Medium (11–25%)","2020-06","Q2","2020-06","14.0","Other / Mid-Stage","Medium ($50–200M)",0
